,Year,Monthly Average Resale Flat Prices
0,1990-01-01,65214.12076974121
1,1990-02-01,67871.05263157895
2,1990-03-01,66603.43391304348
3,1990-04-01,65930.15281757402
4,1990-05-01,67837.12853470437
5,1990-06-01,66789.56310679612
6,1990-07-01,68974.89822064056
7,1990-08-01,68606.35435992578
8,1990-09-01,69951.49132947977
9,1990-10-01,72370.51851851853
10,1990-11-01,69191.45504587155
11,1990-12-01,69708.47647058824
12,1991-01-01,72881.85714285714
13,1991-02-01,69446.88725490196
14,1991-03-01,72264.59016393442
15,1991-04-01,67542.825
16,1991-05-01,75928.27513227513
17,1991-06-01,75216.86602870813
18,1991-07-01,76148.8275862069
19,1991-08-01,74919.4135855546
20,1991-09-01,77127.62023217247
21,1991-10-01,77559.98985629754
22,1991-11-01,72719.91316931983
23,1991-12-01,68716.3238095238
24,1992-01-01,73872.47920133111
25,1992-02-01,76253.74004192872
26,1992-03-01,81575.2111410602
27,1992-04-01,81843.28022492971
28,1992-05-01,85330.85087719298
29,1992-06-01,82029.59395656279
30,1992-07-01,86256.87789799072
31,1992-08-01,89953.46570972887
32,1992-09-01,85805.7005730659
33,1992-10-01,89096.00591278641
34,1992-11-01,87611.75872093023
35,1992-12-01,88452.17606177606
36,1993-01-01,89434.76357267951
37,1993-02-01,88650.57996485062
38,1993-03-01,92950.30548068284
39,1993-04-01,95130.77725118483
40,1993-05-01,118128.88424717146
41,1993-06-01,127563.89942763696
42,1993-07-01,136418.5814116003
43,1993-08-01,142140.57325268816
44,1993-09-01,149617.5948275862
45,1993-10-01,154672.243006034
46,1993-11-01,156532.25574030087
47,1993-12-01,158630.08697552446
48,1994-01-01,155568.70269259537
49,1994-02-01,161327.32071005917
50,1994-03-01,166522.24292368325
51,1994-04-01,166039.9298969072
52,1994-05-01,172197.46141732283
53,1994-06-01,174600.3234476367
54,1994-07-01,172708.23269856014
55,1994-08-01,181070.69009272815
56,1994-09-01,182194.61262241568
57,1994-10-01,186976.75928009
58,1994-11-01,183226.86863711002
59,1994-12-01,183203.92321428572
60,1995-01-01,182665.71646778044
61,1995-02-01,186896.0901259112
62,1995-03-01,188894.277992278
63,1995-04-01,194925.34552102376
64,1995-05-01,208842.4732142857
65,1995-06-01,201461.15646258503
66,1995-07-01,213330.64027538727
67,1995-08-01,219093.7615787354
68,1995-09-01,218765.16601409554
69,1995-10-01,225236.42413223142
70,1995-11-01,228139.14380530972
71,1995-12-01,234309.01941747573
72,1996-01-01,243131.67917675545
73,1996-02-01,248881.78728923475
74,1996-03-01,255941.20938872002
75,1996-04-01,264237.4440031771
76,1996-05-01,269032.0736130868
77,1996-06-01,280986.81967213115
78,1996-07-01,292681.7554119548
79,1996-08-01,296797.6143833388
80,1996-09-01,295273.996451384
81,1996-10-01,294696.235646958
82,1996-11-01,301599.8675896344
83,1996-12-01,302094.39870456996
84,1997-01-01,308231.3811023622
85,1997-02-01,309457.1404391583
86,1997-03-01,310044.88319517707
87,1997-04-01,314513.0905607802
88,1997-05-01,315740.1541809139
89,1997-06-01,325064.823005698
90,1997-07-01,314072.92360633175
91,1997-08-01,307864.24256651016
92,1997-09-01,311057.87077949144
93,1997-10-01,301070.55953250546
94,1997-11-01,294109.26102941175
95,1997-12-01,282386.56720827176
96,1998-01-01,281023.71282401093
97,1998-02-01,274925.053008596
98,1998-03-01,270046.58782138024
99,1998-04-01,266985.35979513446
100,1998-05-01,264893.0630195763
101,1998-06-01,260495.8329632371
102,1998-07-01,258038.90311576074
103,1998-08-01,254500.25045004502
104,1998-09-01,254418.8464285714
105,1998-10-01,251007.8083727448
106,1998-11-01,241807.5808131384
107,1998-12-01,236488.5
108,1999-01-01,236332.36651395253
109,1999-02-01,238871.147910633
110,1999-03-01,241668.33348801237
111,1999-04-01,246849.9011934012
112,1999-05-01,249539.209486863
113,1999-06-01,247570.5207302508
114,1999-07-01,256853.23975969414
115,1999-08-01,262535.7337300826
116,1999-09-01,267442.80031612224
117,1999-10-01,268102.5685963521
118,1999-11-01,269649.2972007147
119,1999-12-01,263346.6920341394
120,2000-01-01,267810.1818440905
121,2000-02-01,270965.9243406831
122,2000-03-01,268914.5066396433
123,2000-04-01,267134.3214285714
124,2000-05-01,264042.31671826623
125,2000-06-01,257339.763326226
126,2000-07-01,254454.22912985273
127,2000-08-01,251560.44784586228
128,2000-09-01,254926.35686528496
129,2000-10-01,253959.00959455277
130,2000-11-01,248817.74428399518
131,2000-12-01,245697.93516560958
132,2001-01-01,249375.87275985663
133,2001-02-01,245153.3702357019
134,2001-03-01,248240.09469335875
135,2001-04-01,246186.71564036224
136,2001-05-01,247756.78943979394
137,2001-06-01,242692.66743166116
138,2001-07-01,244032.59535020601
139,2001-08-01,245913.84274969174
140,2001-09-01,243609.244621118
141,2001-10-01,241013.50372492836
142,2001-11-01,234088.8891848313
143,2001-12-01,234889.26285524125
144,2002-01-01,234133.32053175775
145,2002-02-01,235684.8625142423
146,2002-03-01,237236.84847512038
147,2002-04-01,238811.84364848485
148,2002-05-01,239466.7043662826
149,2002-06-01,238626.48377997178
150,2002-07-01,234923.33180987203
151,2002-08-01,227785.18593142452
152,2002-09-01,239425.37468170244
153,2002-10-01,232211.59759188848
154,2002-11-01,230762.37866125043
155,2002-12-01,227500.12779433682
156,2003-01-01,226496.34861367836
157,2003-02-01,229798.20236813778
158,2003-03-01,233400.9603524229
159,2003-04-01,229527.82407407407
160,2003-05-01,227847.4141725352
161,2003-06-01,228536.759426457
162,2003-07-01,232580.95380554334
163,2003-08-01,232016.40956719816
164,2003-09-01,235479.86009079654
165,2003-10-01,234362.59564759565
166,2003-11-01,231111.70217422346
167,2003-12-01,233638.9963360791
168,2004-01-01,231858.62692741634
169,2004-02-01,230886.88828436707
170,2004-03-01,236571.36204684683
171,2004-04-01,239267.66093849659
172,2004-05-01,237932.17166588895
173,2004-06-01,238133.58612873981
174,2004-07-01,233583.7345971564
175,2004-08-01,232722.1232350313
176,2004-09-01,232216.45125104953
177,2004-10-01,236585.24088488324
178,2004-11-01,238552.09480626546
179,2004-12-01,235088.62242117556
180,2005-01-01,234566.71859114015
181,2005-02-01,239146.11917098446
182,2005-03-01,235890.1135371179
183,2005-04-01,236068.99303091128
184,2005-05-01,233489.87844827585
185,2005-06-01,233255.2834945398
186,2005-07-01,230269.7877894737
187,2005-08-01,231178.26099257523
188,2005-09-01,230587.63535031848
189,2005-10-01,235215.2126895451
190,2005-11-01,234127.0572591362
191,2005-12-01,236251.16217410518
192,2006-01-01,234369.38499264346
193,2006-02-01,234668.24599175446
194,2006-03-01,235291.6975233455
195,2006-04-01,237156.08116579073
196,2006-05-01,237431.43848711555
197,2006-06-01,236140.15250589157
198,2006-07-01,235495.91583333333
199,2006-08-01,235239.6386623165
200,2006-09-01,236574.8258891646
201,2006-10-01,237214.21141552512
202,2006-11-01,235442.8966681261
203,2006-12-01,238167.88223246287
204,2007-01-01,246095.14067278287
205,2007-02-01,245997.0
206,2007-03-01,248747.89847715737
207,2007-04-01,244625.58373668927
208,2007-05-01,249655.1931284658
209,2007-06-01,258422.95998201438
210,2007-07-01,260609.961928934
211,2007-08-01,266071.3594926675
212,2007-09-01,273523.77467174927
213,2007-10-01,279141.0872153972
214,2007-11-01,283629.0064599483
215,2007-12-01,288125.27299481863
216,2008-01-01,298518.07308533916
217,2008-02-01,293374.1420118343
218,2008-03-01,302948.01212121214
219,2008-04-01,307707.5262708244
220,2008-05-01,311163.536271809
221,2008-06-01,316295.9330396476
222,2008-07-01,322954.08380797395
223,2008-08-01,322041.08238507056
224,2008-09-01,329831.68293739966
225,2008-10-01,330318.303131524
226,2008-11-01,335365.196369637
227,2008-12-01,329745.6900927282
228,2009-01-01,322172.8706779661
229,2009-02-01,320281.3356521739
230,2009-03-01,316981.97741935484
231,2009-04-01,322959.7732753371
232,2009-05-01,325765.85993249324
233,2009-06-01,331221.5995901639
234,2009-07-01,336603.97904191614
235,2009-08-01,344250.0089254902
236,2009-09-01,342528.7821947874
237,2009-10-01,353773.04982517485
238,2009-11-01,356051.2814581143
239,2009-12-01,359710.35849731666
240,2010-01-01,357869.6792920354
241,2010-02-01,359556.07981803146
242,2010-03-01,361367.5349264706
243,2010-04-01,365327.2585243742
244,2010-05-01,371752.20906116645
245,2010-06-01,378478.026124538
246,2010-07-01,385053.0402283229
247,2010-08-01,388725.82440266834
248,2010-09-01,397798.4569487009
249,2010-10-01,401831.5509844934
250,2010-11-01,397362.69202898553
251,2010-12-01,401797.52318496536
252,2011-01-01,401630.3913655561
253,2011-02-01,411656.6644991414
254,2011-03-01,408314.0067202411
255,2011-04-01,410524.66307070706
256,2011-05-01,419335.8154187947
257,2011-06-01,425336.5048766041
258,2011-07-01,430086.73290581163
259,2011-08-01,435847.1601156069
260,2011-09-01,436202.38826815644
261,2011-10-01,446644.88606811146
262,2011-11-01,443917.6853868195
263,2011-12-01,448525.6259541985
264,2012-01-01,447972.48741500964
265,2012-02-01,445521.09146715776
266,2012-03-01,452338.21562711865
267,2012-04-01,452520.1763341067
268,2012-05-01,459470.70856650884
269,2012-06-01,459913.5920120421
270,2012-07-01,459551.55656723265
271,2012-08-01,468182.2973493976
272,2012-09-01,470741.28004545456
273,2012-10-01,474220.75419721217
274,2012-11-01,476141.3100864553
275,2012-12-01,474807.5271265908
276,2013-01-01,477803.0140845071
277,2013-02-01,474662.230248307
278,2013-03-01,476317.90658499236
279,2013-04-01,487407.658392435
280,2013-05-01,482807.0043613707
281,2013-06-01,477683.35307517083
282,2013-07-01,479127.25606469
283,2013-08-01,479640.68200147705
284,2013-09-01,472670.9702970297
285,2013-10-01,469807.8468727534
286,2013-11-01,465043.4987593052
287,2013-12-01,464893.68253968254
288,2014-01-01,452651.6976320583
289,2014-02-01,450021.7254223149
290,2014-03-01,447999.79016620497
291,2014-04-01,450964.89210019266
292,2014-05-01,445058.21138908085
293,2014-06-01,447155.7710547833
294,2014-07-01,439310.90162721893
295,2014-08-01,444436.93754702783
296,2014-09-01,435485.0705706522
297,2014-10-01,436794.9314038462
298,2014-11-01,432018.97252405627
299,2014-12-01,434619.3182515337
300,2015-01-01,440380.873504
301,2015-02-01,437176.41268462205
302,2015-03-01,430721.8746290801
303,2015-04-01,430571.017791411
304,2015-05-01,438964.2648372687
305,2015-06-01,432134.88686987106
306,2015-07-01,430615.66860090266
307,2015-08-01,435895.24706694274
308,2015-09-01,436274.3577303071
309,2015-10-01,429304.76652173913
310,2015-11-01,438207.7482993197
311,2015-12-01,439320.5431161473
312,2016-01-01,432097.665625
313,2016-02-01,437776.37333333335
314,2016-03-01,439151.4072507553
315,2016-04-01,437614.54324561404
316,2016-05-01,443833.904866047
317,2016-06-01,436473.5090311987
318,2016-07-01,442621.4529262087
319,2016-08-01,436982.66153028695
320,2016-09-01,442499.9772182254
321,2016-10-01,435499.4183551847
322,2016-11-01,442465.19858227845
323,2016-12-01,437475.68124818575
324,2017-01-01,427506.9848101266
325,2017-02-01,447398.73456221196
326,2017-03-01,445029.89694167103
327,2017-04-01,438629.2722349103
328,2017-05-01,443789.3212121212
329,2017-06-01,448502.0360618203
330,2017-07-01,438739.63033707865
331,2017-08-01,445079.46530612244
332,2017-09-01,452715.63333333336
333,2017-10-01,443583.7658263305
334,2017-11-01,443040.18478787877
335,2017-12-01,449859.98738170345
336,2018-01-01,446379.56623134325
337,2018-02-01,443147.78360101435
338,2018-03-01,457069.77033492824
339,2018-04-01,448189.2339499456
340,2018-05-01,448849.0189655172
341,2018-06-01,442732.18329113926
342,2018-07-01,444896.9440724695
343,2018-08-01,441601.1750749879
344,2018-09-01,433734.4224836272
345,2018-10-01,430989.1576305221
346,2018-11-01,429925.48177920684
347,2018-12-01,427750.73647224176
348,2019-01-01,429810.53612903226
349,2019-02-01,428894.0966257669
350,2019-03-01,433256.5438596491
351,2019-04-01,431445.1550913838
352,2019-05-01,433599.3990338164
353,2019-06-01,431988.53768577497
354,2019-07-01,434089.4914285714
355,2019-08-01,432779.7465194532
356,2019-09-01,432455.4672131148
357,2019-10-01,430003.2615593835
358,2019-11-01,434429.5716649215
359,2019-12-01,431583.52705627703
360,2020-01-01,430529.0041862899
361,2020-02-01,438946.63335340156
362,2020-03-01,434557.92823954567
363,2020-04-01,441208.9926415094
364,2020-05-01,445865.5096418733
365,2020-06-01,432101.72800656274
366,2020-07-01,436486.7788599348
367,2020-08-01,448181.9995383347
368,2020-09-01,460068.116841257
369,2020-10-01,477533.0131850021
370,2020-11-01,473353.4401378122
371,2020-12-01,481814.02051488333
372,2021-01-01,486898.87108791654
373,2021-02-01,493357.5721666667
374,2021-03-01,492348.44576340565
375,2021-04-01,501584.63780540077
376,2021-05-01,511869.2095043434
377,2021-06-01,511851.9361424848
378,2021-07-01,510371.0136103799
379,2021-08-01,517684.3245710113
380,2021-09-01,520277.4459459459
381,2021-10-01,522494.4525810324
382,2021-11-01,532254.9146063913
383,2021-12-01,531586.1065235343
384,2022-01-01,525977.1257125307
385,2022-02-01,535427.0506596306
386,2022-03-01,536441.1630238727
387,2022-04-01,545006.2668788683
388,2022-05-01,546082.0388857939
389,2022-06-01,557369.8103044496
390,2022-07-01,558518.2041507836
391,2022-08-01,550441.0324296233
392,2022-09-01,564887.6310077519
393,2022-10-01,568734.0514693878
394,2022-11-01,557752.3363039399
395,2022-12-01,549643.2390523022
396,2023-01-01,558595.1347887324
397,2023-02-01,551687.2223427332
398,2023-03-01,562239.6611927398
